system:index,CropCode,IrrigatedPrc,UID,Year,cropName,crop_mn,crop_mn_code,crop_mn_codeyear,crop_mnyear,irrig_management,mean,name,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_sand_0_5_00000000000000000004,1,0.9360750688509696,1554031.0,2007.0,Corn,Corn irrigated,1,1_Rawlins,Corn irrigated Rawlins,irrigated,28.009622791122833,Rawlins,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_sand_0_5_0000000000000000000b,1,0.5120495006513244,1085434.0,2007.0,Corn,Corn irrigated,1,1_Decatur,Corn irrigated Decatur,irrigated,16.90694030296838,Decatur,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_sand_0_5_00000000000000000017,1,0.7214500693246761,842210.0,2007.0,Corn,Corn irrigated,1,1_Gove,Corn irrigated Gove,irrigated,21.908523459261747,Gove,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_sand_0_5_0000000000000000001f,1,0.9364569250205014,350949.0,2007.0,Corn,Corn irrigated,1,1_Thomas,Corn irrigated Thomas,irrigated,25.110314189846722,Thomas,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_sand_0_5_00000000000000000027,1,0.8555448239529371,1370844.0,2007.0,Corn,Corn irrigated,1,1_Sheridan,Corn irrigated Sheridan,irrigated,25.751522721371277,Sheridan,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_sand_0_5_0000000000000000002f,1,0.6328293869507652,542533.0,2007.0,Corn,Corn irrigated,1,1_Graham,Corn irrigated Graham,irrigated,19.927915268552464,Graham,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_sand_0_5_0000000000000000003a,1,0.9325637955270616,180795.0,2007.0,Corn,Corn irrigated,1,1_Logan,Corn irrigated Logan,irrigated,26.031735002288766,Logan,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_sand_0_5_00000000000000000000,1,0.0,1081574.0,2007.0,Corn,Corn rainfed,2,2_Cheyenne,Corn rainfed Cheyenne,rainfed,33.96361552606469,Cheyenne,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_sand_0_5_00000000000000000005,1,0.0,1207976.0,2007.0,Corn,Corn rainfed,2,2_Rawlins,Corn rainfed Rawlins,rainfed,28.009622791122833,Rawlins,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_sand_0_5_0000000000000000000c,1,0.0,1084660.0,2007.0,Corn,Corn rainfed,2,2_Decatur,Corn rainfed Decatur,rainfed,16.90694030296838,Decatur,"{""type"":""MultiPoint"",""coordinates"":[]}"
